0,eu-002-2.png
1,1
2,462
3,354
4,1430
5,2150
6,eu-027-4.png
7,0
8,eu-011-5.png
9,1
10,266
11,329
12,1586
13,2119
14,eu-026-5.png
15,1
16,2187
17,1467
18,3126
19,2242
20,eu-004-1.png
21,0
22,eu-007-6.png
23,0
24,eu-005-06.png
25,0
26,eu-006-2.png
27,0
28,eu-013-2.png
29,1
30,778
31,525
32,1523
33,2113
34,eu-022-3.png
35,0
36,eu-029-1.png
37,2
38,971
39,185
40,3143
41,2398
42,2428
43,211
44,3157
45,2142
46,eu-023-2.png
47,0
48,eu-012-1.png
49,0
50,eu-005-08.png
51,0
52,eu-019-1.png
53,1
54,398
55,373
56,1353
57,2062
58,eu-025-4.png
59,3
60,1727
61,1438
62,2504
63,2234
64,930
65,584
66,1646
67,1413
68,919
69,1416
70,1555
71,2185
72,eu-021-4.png
73,2
74,1866
75,306
76,2713
77,2212
78,598
79,218
80,1241
81,2320
82,eu-024-1.png
83,3
84,814
85,260
86,1270
87,1815
88,1363
89,228
90,1708
91,1823
92,2624
93,1279
94,3078
95,1814
96,eu-013-3.png
97,1
98,505
99,485
100,2758
101,1816
102,eu-017-1.png
103,0
104,eu-017-3.png
105,1
106,1098
107,530
108,2933
109,1991
110,eu-034-3.png
111,0
112,eu-027-1.png
113,0
114,eu-021-2.png
115,2
116,1423
117,212
118,2966
119,2221
120,2558
121,247
122,2839
123,1437
124,eu-034-4.png
125,0
126,eu-025-5.png
127,0
128,eu-030-1.png
129,2
130,917
131,115
132,1986
133,2248
134,2161
135,118
136,2987
137,2267
138,eu-014-2.png
139,3
140,262
141,433
142,2217
143,3120
144,1289
145,734
146,2022
147,2885
148,394
149,926
150,1146
151,3010
152,eu-007-7.png
153,1
154,572
155,378
156,1458
157,2070
158,eu-023-4.png
159,2
160,932
161,684
162,1688
163,2195
164,2474
165,1387
166,3191
167,2240
168,eu-021-3.png
169,0
170,eu-033-3.png
171,0
172,eu-001-1.png
173,1
174,643
175,308
176,2611
177,2140
178,eu-007-2.png
179,0
180,eu-009-1.png
181,1
182,1773
183,363
184,2469
185,2159
186,eu-033-2.png
187,0
188,eu-022-2.png
189,1
190,1598
191,316
192,2375
193,1917
194,eu-003-1.png
195,2
196,1849
197,350
198,3020
199,2307
200,1220
201,351
202,1855
203,2149
